Year,Player,not_Match_Up,MIN,PTS,not_WL,not_MIN,FG%,not_FGM,not_FGA,not_FG%,not_3PT,not_3PA,not_3P%,not_FTM,not_FTA,REB,AST,not_DREB,not_REB,not_AST,not_STL,BLK,TOV,PF,PlusMinus,Fantasy
2015,Solomon Hill,82,29,8.9,3.1,7.7,39.6,0.8,2.5,32.7,1.9,2.4,82.4,0.9,3,3.8,2.2,0.8,0.2,1.4,9.5,,,,,
2015,Omri Casspi,67,21.1,8.9,3.1,6.4,48.9,0.5,1.3,40.2,2.1,2.9,73.3,0.8,3.1,3.9,1.5,0.5,0.1,1.3,9.5,,,,,
2015,Hollis Thompson,71,25,8.8,3.2,7.6,41.3,1.6,4,40.1,0.9,1.3,70.8,0.7,2,2.8,1.2,0.8,0.4,0.9,8.2,,,,,
2015,Devin Harris,76,22.2,8.8,2.9,6.9,41.8,1.3,3.5,35.7,1.7,2.1,81.5,0.2,1.6,1.8,3.1,1,0.2,1.1,9.3,,,,,
2015,Mason Plumlee,82,21.3,8.7,3.4,6,57.3,0,0,0,1.9,3.9,49.5,2.1,4.1,6.2,0.9,0.8,0.8,1.3,11.7,,,,,
2015,Boris Diaw,81,24.5,8.7,3.6,7.8,46,0.7,2.1,32,0.9,1.1,77.4,1,3.3,4.3,2.9,0.4,0.3,1.6,10.6,,,,,
2015,Chris Kaman,74,18.9,8.6,3.8,7.4,51.5,0,0,0,1,1.4,70.6,2,4.5,6.5,0.9,0.2,0.7,1.5,11.6,,,,,
2015,Tony Allen,63,26.2,8.6,3.6,7.2,49.5,0.2,0.5,34.5,1.3,2,62.7,1.6,2.8,4.4,1.4,2,0.5,1.4,11.1,,,,,
2015,Tristan Thompson,82,26.8,8.5,3.3,6,54.7,0,0,0,1.9,3,64.1,3.3,4.7,8,0.5,0.4,0.7,1,13.3,,,,,
2015,Rudy Gobert,82,26.3,8.4,3.1,5.2,60.4,0,0,0,2.1,3.3,62.3,3.2,6.2,9.5,1.3,0.8,2.3,1.4,17.6,,,,,
2015,Derrick Williams,74,19.8,8.3,2.9,6.6,44.7,0.7,2.1,31.4,1.8,2.6,68.4,0.6,2.2,2.7,0.7,0.5,0.1,0.8,7,,,,,
2015,Ed Davis,79,23.3,8.3,3.6,5.9,60.1,0,0,0,1.2,2.4,48.7,2.9,4.7,7.6,1.2,0.6,1.2,0.7,14.6,,,,,
2015,Jameer Nelson,63,22.3,8.3,3.3,8,40.7,1.4,4.1,34.5,0.4,0.6,66.7,0.5,1.8,2.3,4,0.7,0.1,1.7,8.8,,,,,
2015,Zaza Pachulia,73,23.7,8.3,3.3,7.2,45.4,0,0,0,1.7,2.2,78.8,2.7,4.2,6.8,2.4,1.1,0.3,1.8,12.7,,,,,
2015,Lance Stephenson,61,25.8,8.2,3.4,9,37.6,0.3,1.7,17.1,1.1,1.8,62.7,0.6,3.9,4.5,3.9,0.6,0.1,2.1,9,,,,,
